Label,a,all,and,are,at,babi,back,be,better,but,can,come,cri,day,do,don,down,feel,for,from,get,girl,go,gonna,good,got,have,he,her,hey,hi,home,how,i,if,in,is,it,just,know,let,like,littl,ll,long,look,love,m,make,man,me,my,need,never,night,no,not,noth,now,of,oh,on,one,onli,out,pleas,re,s,said,say,see,she,so,t,take,tell,that,the,there,they,thing,time,to,up,ve,wa,want,way,we,well,what,when,where,whi,will,with,ye,yeah,you,your
Lennon,10,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,2,2,8,2,0,2,0,0,0,9,3,0,2,0,0,4,2,0,0,0,5,0,0,3,0,6,0,0,0,0,0,0,0,0,0,5,0,0
Lennon,2,0,2,3,0,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,3,1,1,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,0,0,4,0,3,6,0,0,1,10,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,2
Lennon,5,3,0,2,0,0,0,3,0,0,12,0,0,0,1,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,12,0,0,3,3,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,6,0,0,0,8,0,0,6,0,0,0,0,0,0,5,1,34,0
Lennon,3,0,4,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Lennon,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,6,0,0,1,6,3,0,0,2,3,0,4,3,0,0,3,0,0,2,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,9,0,1,0,3,0,1,0,0,0,0,0,0,3,0,0,15,3
Lennon,4,1,2,0,1,0,0,1,2,0,3,0,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,11,0,0,1,0,0,3,1,1,0,0,1,0,0,1,0,5,0,0,0,0,2,3,0,4,1,0,1,1,0,0,0,0,0,0,1,0,0,0,5,1,3,0,1,0,0,0,1,0,0,1,1,0,0,1,3,1,0,0,0,0,0,12,0,0,0,0,0,1,0,0,15,0
Lennon,2,0,2,0,0,0,0,0,0,0,1,0,0,0,2,18,17,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,1,0,4,0,1,17,2,0,0,0,0,5,1,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,11,0,18,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0
Lennon,6,0,3,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,3,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,2,4,18,0,0,6,0,0,0,0,0,0,0,5,0,3,3,0,0,0,0,0,0,0,0,1,24,0,0,2,0,0,15,0,0,0,0,2,0,7,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,4
Lennon,3,3,3,1,0,0,1,0,0,0,0,0,1,2,0,2,1,1,0,0,0,18,1,0,1,0,0,1,2,0,2,0,0,4,1,0,1,4,0,1,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,1,1,0,11,2,2,0,0,2,5,2,1,0,2,9,0,1,2,1,0,0,0,0,6,0,1,2,0,0,0,6,0
Lennon,6,1,1,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,1,1,0,0,2,0,0,0,0,0,5,0,0,2,3,2,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,1,4,0,0,1,0,0,0,0,1,1,9,1,0,0,0,4,0,0,1,0,0,1,3,0,0,2,0,0,0,0,6,9,0
Lennon,5,0,2,0,0,0,0,0,0,4,0,0,0,1,3,1,1,2,2,0,1,0,3,0,27,3,0,0,0,0,2,1,1,4,0,5,3,9,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,2,1,0,1,0,0,0,0,4,11,0,4,2,1,0,1,1,0,1,6,1,0,0,2,16,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,13,2
Lennon,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,10,0,0,0,4,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Lennon,12,0,2,1,0,0,0,0,0,0,1,0,0,0,7,1,3,1,0,0,0,1,2,0,0,0,0,1,0,0,4,0,0,8,0,2,8,2,0,2,0,1,0,0,0,0,0,2,0,1,1,2,2,0,0,1,1,0,0,2,1,3,0,0,0,0,0,2,0,0,0,2,0,1,0,0,2,13,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,3,2,1,2,1
Lennon,0,0,7,2,0,0,3,3,0,3,3,0,0,2,3,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,3,4,0,0,2,2,0,1,0,0,0,0,0,5,0,0,11,7,5,3,0,0,3,0,6,0,1,3,0,0,0,6,0,2,0,0,0,0,6,3,0,0,1,6,0,0,0,0,1,2,3,2,0,3,0,0,0,2,0,0,0,0,0,0,11,0
Lennon,10,1,2,7,1,0,0,0,0,0,0,2,0,0,0,2,2,0,2,3,1,1,0,0,0,2,1,3,0,0,0,0,6,16,2,5,1,1,0,1,2,3,1,0,1,0,0,6,0,3,2,2,0,0,0,0,0,0,0,2,1,1,2,0,1,0,0,3,0,0,6,0,0,2,1,0,0,22,0,10,0,0,3,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,12,3
Lennon,0,0,0,0,6,0,0,1,0,3,8,0,0,0,0,4,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,22,0,0,0,4,2,4,0,0,0,0,0,0,0,4,2,2,0,0,0,3,6,0,5,0,0,2,4,1,0,0,0,0,1,0,0,0,0,0,0,10,2,0,2,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,6
Lennon,4,0,4,0,0,0,0,2,0,0,0,0,0,0,2,4,0,0,4,0,0,0,2,0,0,0,0,0,8,0,0,0,0,32,5,2,0,0,0,2,2,0,0,6,2,2,4,2,0,0,6,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,8,0,0,0,6,4,4,2,0,0,2,6,0,0,0,4,2,4,0,2,0,0,0,4,1,0,0,2,0,0,0,0,0
Lennon,0,4,6,0,0,5,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,2,0,0,1,0,0,2,9,0,0,0,0,11,0,6,0,0,0,10,0,0,2,0,0,0,6,5,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,2,0,19,9,0,0,4,4,4,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0
Lennon,4,0,4,0,0,0,0,4,1,0,4,0,0,0,3,0,0,0,0,0,0,1,0,4,0,1,2,0,0,6,0,0,0,13,1,0,1,0,0,0,0,1,0,0,0,0,11,0,0,0,12,0,0,2,0,0,0,0,0,1,2,0,0,2,0,0,4,0,0,4,4,0,1,4,0,2,6,0,0,0,1,0,5,0,1,0,0,0,0,0,2,4,0,0,0,1,0,0,24,0
Lennon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,26,0
Lennon,0,0,7,2,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,16,7,6,0,0,1,0,0,1,0,0,0,0,12,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,4,2,4,0,0,6,3,0,0,0,0,4,0,1,3,0,0,2,0,0,2,0,0,2,2,0,0,11,0
Lennon,1,0,0,0,0,0,3,2,2,5,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,19,3,0,0,0,0,2,0,0,0,4,0,0,1,4,0,0,1,4,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,2,2,10,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,16,0
Lennon,1,4,4,0,0,0,2,1,2,4,5,2,6,0,4,2,0,0,0,0,4,3,0,6,0,2,0,0,0,0,0,0,0,28,2,2,0,0,1,0,0,0,0,6,0,0,2,6,1,2,0,3,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,3,0,0,1,0,2,5,0,0,2,5,4,2,0,0,5,1,3,0,0,1,0,0,2,6,0,0,0,0,2,0,6,2
Lennon,14,2,9,1,0,0,0,4,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,6,0,1,0,0,0,0,30,0,2,2,3,0,0,0,2,0,0,0,0,2,13,0,0,3,2,0,1,0,0,4,0,0,1,0,0,1,0,0,0,0,4,0,0,0,2,2,1,0,1,2,3,1,0,0,0,8,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,2,0
Lennon,0,1,1,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24,3,4,6,1,9,0,2,0,0,3,0,0,4,8,0,0,3,2,3,0,1,0,0,4,0,0,5,0,0,0,0,0,0,6,0,0,2,0,3,4,2,0,0,0,4,0,0,0,11,0,1,0,2,0,2,0,0,3,0,0,0,11,0,0,15,1
Lennon,4,2,3,0,2,0,0,0,0,0,0,0,0,2,0,7,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6,8,1,0,0,3,0,0,0,2,0,2,0,4,0,4,1,1,0,0,0,0,0,7,2,0,0,7,2,2,0,2,1,4,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0
Lennon,7,0,2,0,0,0,0,0,0,3,4,0,0,0,4,1,0,1,4,0,1,0,2,0,0,4,1,1,0,0,0,0,0,31,0,0,2,6,0,8,0,0,4,1,0,0,0,11,0,0,2,4,0,0,0,5,0,0,0,4,0,4,0,0,0,0,0,6,0,2,0,0,7,6,0,0,0,1,0,0,0,0,1,1,4,1,0,0,0,0,2,0,0,0,0,0,0,0,17,0
Lennon,0,1,0,0,0,0,0,15,0,1,0,9,1,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,6,0,16,0,0,0,12,0,4,0,2,0,3,12,0,0,2,0,0,3,2,0,0,2,1,0,1,3,0,0,3,0,0,0,0,8,0,0,0,0,0,3,13,0,0,1,1,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,27,15,0
Lennon,0,4,5,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0,5,9,2,0,0,0,0,0,0,0,8,1,2,0,0,4,0,0,1,0,0,0,0,1,1,0,0,4,0,0,0,7,0,0,1,0,4,1,0,0,5,4,0,0,0,0,1,1,0,0,0,2,0,0,0,3,0,3,0,0,1,0,9,0
Lennon,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,1,2,1,1,0,0,0,0,0,0,0,5,0,0,0,5,2,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,2,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Lennon,7,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,23,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,5,2
Lennon,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,2,0,0,1,0,1,4,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lennon,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,1,6,0,1,0,3,0,0,0,1,0,1,1,0,0,2,2,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,1,0,0,5,3,0,3,0,0,4,1,2,0,0,0,0,0,0,2,2,0,0,2,0,0,14,5
Lennon,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,3,0,0,0,0,10,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,7,2,4,0,0,0,3,1,0,0,2,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Lennon,5,0,2,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,2,0,2,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,14,5,0,2,0,2,0,0,0,0,0,4,2,0,0,4,0,0,0,0,0,0,2,0,0,0,5,2,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,14,2
Lennon,7,6,2,0,3,0,0,1,0,0,2,0,0,0,0,4,0,0,4,0,0,0,2,0,0,0,2,9,0,0,6,0,0,0,0,2,2,1,1,4,0,2,0,0,0,0,0,0,4,8,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,5,0,0,3,0,0,8,1,0,0,2,0,0,0,1,3,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,8,3
Lennon,0,0,1,0,0,5,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,6,0,0,0,0,1,0,0,0,1,17,9,2,0,0,1,9,17,1,0,12,0,4,0,0,3,16,0,0,0,0,3,4,4,0,0,0,0,2,0,0,0,0,0,1,0,1,3,0
Lennon,0,1,0,0,0,0,0,0,0,1,0,12,0,0,4,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,12,0,1,0,1,0,2,0,5,0,0,0,0,2,0,1,0,7,3,1,2,2,0,0,0,0,0,0,12,0,0,0,12,0,2,2,1,0,0,1,2,0,0,0,2,1,0,0,0,6,0,0,0,1,1,0,0,0,0,0,3,0,2,0,6,11,0
Lennon,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,1,3,6,1,0,0,0,1,4,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,2,6,4,0
Lennon,1,0,3,0,0,0,0,1,0,0,6,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,10,0,3,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,6,0
Lennon,3,6,0,0,0,0,0,3,1,3,3,0,0,0,0,4,0,0,2,0,0,0,1,4,0,1,1,0,0,0,0,0,0,1,2,0,1,6,0,10,0,0,0,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,5,0,3,1,0,0,5,0,3,3,5,0,0,0,0,2,0,0,0,2,0,6,6,1,1,0,0,0,2,0,0,27,2
Lennon,3,0,3,0,0,1,0,3,6,0,5,0,0,0,0,0,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,12,4,4,0,0,1,3,1,0,16,0,0,0,0,2,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,3,0,0,5,9,0,0,0,0,3,0,1,1,0,0,0,2,0,0,2,0,0,7,0,0,20,10
Lennon,5,4,1,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,5,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,2,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,1,0,0,0,0,1,0,0,2,3,0,0,0,0,0,8,0,0,0,0,4,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,20,2
Lennon,2,1,2,0,0,0,0,5,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,2,5,0,11,0,7,0,0,0,0,0,3,5,0,5,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,5,4,11,0,0,5,0,2,0,0,4,0,0,0,2,0,7,0,4,6,0,0,0,0,9,2,0,0,0,0,0,0,11,1
Lennon,1,4,4,0,0,0,0,2,0,4,1,0,0,0,0,0,4,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,13,0,2,9,9,0,4,4,0,0,0,0,0,0,4,0,0,6,1,0,0,0,2,1,8,0,0,0,0,1,0,1,0,0,6,0,0,1,0,0,2,4,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,8,0
Lennon,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lennon,0,1,10,0,0,0,1,0,0,1,3,0,8,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10,3,2,2,2,0,0,0,0,0,2,0,0,1,1,0,0,19,5,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,0,0,0,2,3,0,9,1,0,1,0,0,0,10,0,0,0,0,0,0,2,1,0,0,16,0,1,0,0,23,0
Lennon,6,1,0,6,1,0,3,5,0,1,7,0,0,1,1,1,1,0,2,2,3,0,7,6,1,1,1,0,0,0,1,0,5,1,0,8,0,12,1,11,0,1,0,0,0,1,0,0,1,1,6,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,8,2,6,2,0,1,0,7,1,0,0,19,0,8,6,0,11,1,1,0,0,6,2,0,1,1,0,0,0,1,0,0,20,3
Lennon,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,14,4,0,0,0,2,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,8,0,0,0,0,1,0,0,1,0,0,0,0,14,1,1,0,0,1,0,0,14,0
Lennon,6,0,5,0,0,0,0,1,0,0,2,0,0,0,1,2,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,1,2,4,0,2,0,1,0,1,0,0,1,2,0,0,0,4,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,11,1,0,0,0,2,2,0,0,2,1,10,0,2,2,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,6,0
Lennon,0,0,1,0,0,0,3,2,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0
Lennon,12,0,0,0,0,6,0,4,0,4,0,0,0,0,4,12,2,0,1,0,2,2,3,1,0,12,0,0,2,0,0,0,0,10,0,0,3,2,0,2,0,0,0,0,0,0,0,2,0,0,8,6,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,18,2,2,0,32,2,12,0,0,4,2,0,0,0,0,23,0,0,3,0,0,0,0,0,2,0,2,0,2,0,5,0,0
Lennon,0,2,3,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Lennon,7,0,1,0,0,1,0,1,0,0,0,4,0,0,1,0,0,0,2,0,6,1,0,3,0,10,0,0,9,0,0,8,0,23,1,1,0,0,0,0,1,0,0,1,0,0,2,2,0,0,2,2,0,0,0,2,0,0,0,6,0,3,0,0,2,1,0,1,0,1,1,0,1,0,0,5,1,1,0,0,7,1,6,0,0,0,0,2,0,0,0,6,0,0,0,1,0,1,2,0
Lennon,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,10,5,2,0,1,1,6,0,1,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,5,0,0,0,12,0,0,0,0,8,0,0,2,8,0,0,0,1,0,0,5,0,0,2,1,6,0
Lennon,0,1,1,0,0,1,0,2,0,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,3,2,18,23,0,1,0,0,0,0,0,0,0,1,2,0,2,5,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,11,3,0,0,1,0,2,0,0,3,5,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,2,2,13,2,5,0
